iter	Passed	Remaining
161	572	2959
162	573	2944
163	575	2931
164	576	2916
165	577	2901
166	579	2888
167	580	2874
168	581	2859
169	583	2846
170	584	2832
171	585	2818
172	586	2806
173	593	2819
174	595	2806
175	645	3020
176	650	3026
177	653	3018
178	655	3005
179	665	3029
180	671	3036
181	672	3023
182	675	3013
183	677	3002
184	683	3012
185	685	2998
186	686	2986
187	693	2994
188	695	2983
189	697	2973
190	698	2960
191	739	3112
192	744	3112
193	747	3105
194	753	3108
195	754	3096
196	756	3082
197	785	3180
198	787	3169
199	792	3168
200	793	3154
201	795	3140
202	796	3127
203	798	3117
204	800	3104
205	804	3101
206	806	3088
207	807	3073
208	808	3060
209	811	3051
210	812	3037
211	818	3043
212	820	3031
213	822	3019
214	823	3007
215	826	2998
216	827	2986
217	829	2974
218	832	2968
219	839	2976
220	841	2966
221	843	2955
222	845	2945
223	846	2933
224	854	2942
225	855	2930
226	856	2918
227	858	2907
228	859	2894
229	865	2897
230	866	2885
231	868	2873
232	869	2862
233	871	2851
234	872	2840
235	876	2838
236	878	2827
237	879	2816
238	881	2806
239	882	2795
240	884	2784
241	891	2792
242	892	2781
243	894	2770
244	896	2762
245	897	2751
246	903	2753
247	904	2743
248	906	2733
249	908	2724
250	909	2714
251	917	2722
252	918	2712
253	920	2704
254	923	2697
255	925	2689
256	927	2682
257	929	2672
258	930	2662
259	931	2652
260	933	2642
261	934	2633
262	941	2637
263	942	2627
264	943	2617
265	945	2608
266	946	2598
267	947	2589
268	949	2579
269	950	2570
270	952	2562
271	953	2553
272	955	2544
273	961	2547
274	962	2538
275	964	2529
276	965	2520
277	967	2512
278	968	2503
279	973	2502
280	974	2493
281	975	2484
282	977	2475
283	978	2468
284	980	2458
285	981	2449
286	982	2441
287	984	2432
288	985	2425
289	987	2416
290	988	2408
291	995	2412
292	996	2404
293	998	2397
294	1000	2391
295	1002	2383
296	1009	2388
297	1011	2381
298	1012	2373
299	1014	2366
300	1015	2358
301	1017	2351
302	1018	2343
303	1020	2336
304	1022	2329
305	1023	2320
306	1024	2313
307	1026	2305
308	1027	2297
309	1028	2290
310	1030	2282
311	1031	2275
312	1037	2276
313	1038	2268
314	1039	2261
315	1041	2253
316	1042	2246
317	1044	2239
318	1049	2239
319	1050	2232
320	1051	2225
321	1053	2218
322	1055	2211
323	1056	2204
324	1057	2196
325	1063	2199
326	1065	2192
327	1066	2185
328	1068	2178
329	1069	2171
330	1070	2164
331	1072	2157
332	1073	2150
333	1074	2143
334	1076	2136
335	1077	2129
336	1079	2123
337	1081	2118
338	1083	2112
339	1085	2108
340	1087	2101
341	1088	2094
342	1096	2099
343	1098	2094
344	1099	2087
345	1101	2082
346	1103	2075
347	1109	2079
348	1111	2072
349	1112	2066
350	1113	2059
351	1115	2053
352	1116	2046
353	1123	2050
354	1125	2044
355	1126	2038
356	1128	2032
357	1129	2025
358	1137	2031
359	1139	2025
360	1141	2020
361	1143	2015
362	1150	2019
363	1153	2014
364	1154	2008
365	1156	2003
366	1162	2005
367	1164	1999
368	1166	1994
369	1167	1987
370	1168	1981
371	1173	1980
372	1174	1974
373	1176	1968
374	1177	1962
375	1179	1956
376	1180	1950
377	1181	1944
378	1183	1939
379	1185	1933
380	1187	1930
381	1189	1924
382	1191	1918
383	1194	1916
384	1196	1910
385	1197	1904
386	1199	1899
387	1200	1894
388	1205	1894
389	1207	1888
390	1208	1882
391	1210	1876
392	1212	1872
393	1213	1866
394	1217	1864
395	1218	1858
396	1219	1852
397	1220	1846
398	1222	1841
399	1224	1836
400	1225	1830
401	1226	1825
402	1228	1820
403	1231	1816
404	1232	1811
405	1234	1805
406	1236	1802
407	1238	1797
408	1239	1791
409	1241	1785
410	1242	1781
411	1244	1775
412	1248	1774
413	1249	1769
414	1251	1763
415	1252	1758
416	1253	1753
417	1255	1747
418	1256	1742
419	1262	1743
420	1263	1738
421	1265	1733
422	1266	1728
423	1268	1722
424	1269	1717
425	1272	1714
426	1274	1709
427	1275	1704
428	1277	1699
429	1279	1695
430	1280	1690
431	1281	1685
432	1287	1685
433	1288	1680
434	1291	1677
435	1293	1672
436	1295	1668
437	1298	1666
438	1299	1661
439	1301	1656
440	1302	1651
441	1304	1646
442	1305	1641
443	1306	1636
444	1313	1637
445	1314	1633
446	1316	1628
447	1317	1623
448	1319	1619
449	1320	1614
450	1327	1615
451	1328	1610
452	1329	1605
453	1331	1600
454	1332	1596
455	1334	1591
456	1335	1587
457	1337	1583
458	1339	1578
459	1340	1573
460	1342	1569
461	1343	1564
462	1345	1560
463	1346	1555
464	1348	1551
465	1349	1546
466	1350	1541
467	1352	1537
468	1354	1533
469	1360	1534
470	1362	1530
471	1364	1526
472	1366	1522
473	1367	1517
474	1370	1515
475	1373	1511
476	1374	1506
477	1375	1502
478	1377	1498
479	1378	1493
480	1379	1489
481	1381	1484
482	1383	1480
483	1384	1476
484	1386	1472
485	1387	1467
486	1389	1463
487	1391	1459
488	1392	1455
489	1394	1451
490	1395	1446
491	1396	1442
492	1398	1438
493	1399	1433
494	1401	1429
495	1402	1425
496	1403	1420
497	1405	1416
498	1406	1412
499	1408	1408
500	1409	1404
501	1413	1401
502	1414	1397
503	1415	1393
504	1417	1389
505	1418	1385
506	1420	1381
507	1422	1377
508	1423	1373
509	1425	1369
510	1426	1365
511	1427	1360
512	1429	1356
513	1431	1353
514	1432	1349
515	1433	1344
516	1435	1340
517	1436	1337
518	1438	1333
519	1439	1328
520	1446	1330
521	1448	1326
522	1449	1322
523	1450	1317
524	1452	1314
525	1457	1313
526	1459	1309
527	1460	1305
528	1462	1301
529	1463	1298
530	1466	1295
531	1467	1291
532	1469	1287
533	1470	1283
534	1472	1279
535	1476	1278
536	1478	1274
537	1479	1270
538	1480	1266
539	1482	1262
540	1483	1258
541	1485	1254
542	1490	1254
543	1492	1250
544	1493	1247
545	1495	1243
546	1496	1239
547	1498	1235
548	1501	1233
549	1503	1230
550	1504	1226
551	1506	1222
552	1507	1218
553	1509	1214
554	1510	1211
555	1512	1208
556	1514	1204
557	1515	1200
558	1517	1196
559	1518	1193
560	1519	1189
561	1521	1185
562	1526	1185
563	1528	1181
564	1530	1177
565	1531	1174
566	1533	1170
567	1534	1166
568	1535	1163
569	1539	1161
570	1541	1157
571	1543	1154
572	1549	1154
573	1550	1151
574	1553	1148
575	1555	1144
576	1564	1146
577	1566	1143
578	1568	1140
579	1571	1137
580	1572	1134
581	1574	1130
582	1576	1127
583	1577	1123
584	1582	1122
585	1584	1119
586	1587	1117
587	1597	1119
588	1603	1118
589	1607	1116
590	1609	1113
591	1610	1110
592	1612	1106
593	1613	1102
594	1616	1100
595	1618	1097
596	1624	1096
597	1627	1093
598	1629	1090
599	1631	1087
600	1633	1084
601	1636	1081
602	1637	1078
603	1640	1075
604	1642	1072
605	1651	1074
606	1654	1070
607	1655	1067
608	1657	1064
609	1659	1061
610	1661	1057
611	1663	1054
612	1664	1051
613	1673	1052
614	1675	1049
615	1677	1045
616	1678	1041
617	1680	1038
618	1682	1035
619	1684	1032
620	1686	1029
621	1692	1028
622	1694	1025
623	1696	1022
624	1698	1018
625	1699	1015
626	1706	1015
627	1708	1011
628	1709	1008
629	1711	1004
630	1712	1001
631	1714	998
632	1715	994
633	1717	991
634	1719	988
635	1720	984
636	1722	981
637	1724	978
638	1725	975
639	1727	971
640	1728	968
641	1730	964
642	1737	964
643	1738	961
644	1740	957
645	1741	954
646	1743	951
647	1748	950
648	1750	946
649	1752	943
650	1753	940
651	1803	962
652	1806	959
653	1808	956
654	1812	954
655	1814	951
656	1815	948
657	1841	957
658	1843	954
659	1848	952
660	1850	949
661	1852	945
662	1854	942
663	1856	939
664	1857	935
665	1863	934
666	1866	931
667	1867	928
668	1869	925
669	1871	921
670	1876	920
671	1879	917
672	1880	913
673	1882	910
674	1883	907
675	1889	905
676	1890	902
677	1892	898
678	1894	895
679	1904	896
680	1906	892
681	1907	889
682	1909	886
683	1911	882
684	1913	879
685	1914	876
686	1916	873
687	1918	869
688	1919	866
689	1921	863
690	1926	861
691	1928	858
692	1930	855
693	1933	852
694	1934	848
695	1935	845
696	1937	842
697	1939	838
698	1941	835
699	1942	832
700	1948	831
701	1950	828
702	1952	824
703	1954	821
704	1955	818
705	1961	816
706	1964	814
707	1965	810
708	1967	807
709	1973	806
710	1975	802
711	1977	799
712	1979	796
713	1981	793
714	1982	790
715	1984	787
716	1991	785
717	1993	783
718	1995	779
719	1998	777
720	2000	773
721	2001	770
722	2003	767
723	2013	767
724	2014	764
725	2016	760
726	2018	757
727	2019	754
728	2021	751
729	2023	748
730	2025	745
731	2034	744
732	2036	741
733	2038	738
734	2040	735
735	2042	732
736	2044	729
737	2045	726
738	2048	723
739	2049	720
740	2051	716
741	2054	714
742	2056	711
743	2061	709
744	2064	706
745	2066	703
746	2078	704
747	2080	701
748	2082	697
749	2089	696
750	2106	698
751	2107	695
752	2109	691
753	2111	688
754	2113	685
755	2114	682
756	2131	684
757	2139	683
758	2143	680
759	2145	677
760	2153	676
761	2155	673
762	2157	670
763	2159	666
764	2161	664
765	2163	660
766	2165	657
767	2173	656
768	2175	653
769	2177	650
770	2178	647
771	2186	645
772	2187	642
773	2189	639
774	2190	636
775	2197	634
776	2199	631
777	2200	627
778	2202	624
779	2203	621
780	2205	618
781	2207	615
782	2208	612
783	2210	609
784	2212	606
785	2219	604
786	2220	601
787	2222	597
788	2228	596
789	2230	592
790	2231	589
791	2233	586
792	2234	583
793	2237	580
794	2240	577
795	2246	575
796	2248	572
797	2250	569
798	2253	566
799	2255	563
800	2257	560
801	2264	559
802	2281	559
803	2284	556
804	2300	557
805	2302	554
806	2311	552
807	2313	549
808	2314	546
809	2316	543
810	2322	541
811	2324	538
812	2325	534
813	2327	531
814	2329	528
815	2331	525
816	2333	522
817	2335	519
818	2336	516
819	2338	513
820	2339	510
821	2341	507
822	2343	504
823	2345	500
824	2347	497
825	2348	494
826	2350	491
827	2351	488
828	2353	485
829	2355	482
830	2358	479
831	2359	476
832	2361	473
833	2363	470
834	2365	467
835	2367	464
836	2368	461
837	2371	458
838	2372	455
839	2386	454
840	2388	451
841	2390	448
842	2391	445
843	2394	442
844	2396	439
845	2398	436
846	2399	433
847	2401	430
848	2403	427
849	2408	425
850	2410	422
851	2412	419
852	2414	416
853	2415	412
854	2421	410
855	2424	407
856	2425	404
857	2427	401
858	2429	398
859	2433	396
860	2434	392
861	2435	389
862	2437	386
863	2438	383
864	2439	380
865	2441	377
866	2442	374
867	2445	371
868	2446	368
869	2448	365
870	2449	362
871	2450	359
872	2451	356
873	2457	354
874	2459	351
875	2460	348
876	2462	345
877	2464	342
878	2465	339
879	2468	336
880	2470	333
881	2471	330
882	2472	327
883	2473	324
884	2475	321
885	2476	318
886	2480	315
887	2482	313
888	2483	310
889	2484	307
890	2486	304
891	2487	301
892	2488	298
893	2495	295
894	2496	292
895	2497	289
896	2498	286
897	2500	283
898	2501	281
899	2502	278
900	2507	275
901	2509	272
902	2510	269
903	2511	266
904	2513	263
905	2514	260
906	2515	257
907	2517	255
908	2520	252
909	2521	249
910	2522	246
911	2523	243
912	2525	240
913	2526	237
914	2527	234
915	2529	231
916	2531	229
917	2532	226
918	2533	223
919	2534	220
920	2536	217
921	2538	214
922	2539	211
923	2541	209
924	2542	206
925	2544	203
926	2545	200
927	2546	197
928	2547	194
929	2549	191
930	2550	189
931	2556	186
932	2557	183
933	2558	180
934	2559	177
935	2561	175
936	2562	172
937	2563	169
938	2566	166
939	2567	163
940	2568	161
941	2569	158
942	2571	155
943	2572	152
944	2573	149
945	2574	146
946	2576	144
947	2581	141
948	2582	138
949	2583	135
950	2584	133
951	2586	130
952	2587	127
953	2588	124
954	2594	122
955	2595	119
956	2596	116
957	2598	113
958	2599	111
959	2600	108
960	2601	105
961	2602	102
962	2607	100
963	2608	97
964	2610	94
965	2611	91
966	2612	89
967	2614	86
968	2615	83
969	2616	80
970	2619	78
971	2620	75
972	2622	72
973	2623	70
974	2624	67
975	2626	64
976	2627	61
977	2630	59
978	2631	56
979	2633	53
980	2634	51
981	2635	48
982	2637	45
983	2638	42
984	2641	40
985	2642	37
986	2643	34
987	2644	32
988	2646	29
989	2647	26
990	2648	24
991	2650	21
992	2655	18
993	2656	16
994	2657	13
995	2659	10
996	2661	8
997	2662	5
998	2668	2
999	2669	0
