iter	RMSE
332	4.269947487
333	4.267217859
334	4.263407932
335	4.26147302
336	4.25756706
337	4.251026265
338	4.245125377
339	4.241093115
340	4.237689389
341	4.232705501
342	4.229941553
343	4.223864889
344	4.219927326
345	4.215582887
346	4.213894689
347	4.211476376
348	4.209678535
349	4.206498144
350	4.204766084
351	4.201155961
352	4.199292818
353	4.198089006
354	4.195313413
355	4.193661211
356	4.18965047
357	4.185117766
358	4.183481511
359	4.181411844
360	4.17890219
361	4.174670396
362	4.174230697
363	4.170732055
364	4.167155157
365	4.164406034
366	4.158463097
367	4.153153586
368	4.149934743
369	4.145620154
370	4.141262999
371	4.13761154
372	4.132863892
373	4.127172961
374	4.122618371
375	4.119249469
376	4.118776446
377	4.115719505
378	4.111537018
379	4.10661326
380	4.103109752
381	4.098663942
382	4.094392175
383	4.091465191
384	4.087705933
385	4.083305114
386	4.082841677
387	4.081731395
388	4.080999478
389	4.076728833
390	4.072716913
391	4.067103003
392	4.061965815
393	4.060025971
394	4.057186619
395	4.053173247
396	4.050947352
397	4.04719094
398	4.042834639
399	4.04001233
400	4.038482409
401	4.03486773
402	4.02925892
403	4.027179364
404	4.026570839
405	4.024232266
406	4.018996684
407	4.015071127
408	4.014353479
409	4.0100228
410	4.006360409
411	4.005148794
412	4.002026188
413	3.999521485
414	3.997239216
415	3.993332128
416	3.988637355
417	3.984691361
418	3.980250729
419	3.976527942
420	3.972544878
421	3.970532842
422	3.969963397
423	3.965529379
424	3.961351658
425	3.957925616
426	3.95557197
427	3.952855066
428	3.948957777
429	3.944551492
430	3.940792583
431	3.937042744
432	3.933830382
433	3.931050436
434	3.929154872
435	3.925927855
436	3.923902994
437	3.921601204
438	3.921012659
439	3.916580633
440	3.912116303
441	3.909702833
442	3.907889861
443	3.902459699
444	3.899779174
445	3.894799651
446	3.891407776
447	3.887184274
448	3.884849939
449	3.882870253
450	3.880970896
451	3.877104817
452	3.874923547
453	3.87313427
454	3.871918341
455	3.870211142
456	3.869671284
457	3.866321272
458	3.863284764
459	3.858969216
460	3.858544489
461	3.854070061
462	3.850414305
463	3.847684981
464	3.844357091
465	3.840946609
466	3.838866033
467	3.834786728
468	3.82919023
469	3.827307442
470	3.825322859
471	3.822481141
472	3.81837734
473	3.816852859
474	3.814088383
475	3.812232542
476	3.809248057
477	3.808366589
478	3.806821206
479	3.803309081
480	3.799556604
481	3.796750165
482	3.792972843
483	3.790892991
484	3.788080711
485	3.786159085
486	3.78283692
487	3.779556767
488	3.775629203
489	3.771926948
490	3.768121329
491	3.764931375
492	3.763109869
493	3.759303779
494	3.755438939
495	3.751706409
496	3.750265625
497	3.747455359
498	3.74508567
499	3.743029518
500	3.738775575
501	3.737987136
502	3.735272851
503	3.732645247
504	3.731065976
505	3.727328122
506	3.724720896
507	3.724354442
508	3.721545656
509	3.718622505
510	3.716351204
511	3.714616222
512	3.713754457
513	3.711621739
514	3.708333283
515	3.706569483
516	3.703598817
517	3.699329333
518	3.697370388
519	3.6942453
520	3.691338441
521	3.689635814
522	3.688275457
523	3.687900859
524	3.685673249
525	3.685362381
526	3.681196113
527	3.678167422
528	3.673604184
529	3.671151399
530	3.670663728
531	3.668385991
532	3.666021289
533	3.663833871
534	3.660397949
535	3.659279251
536	3.655828664
537	3.654216133
538	3.64942715
539	3.646076987
540	3.643407391
541	3.640836459
542	3.637415953
543	3.636447469
544	3.633760144
545	3.631442952
546	3.630483935
547	3.628308729
548	3.626476578
549	3.622555568
550	3.620658898
551	3.618347596
552	3.615918456
553	3.614615281
554	3.614202036
555	3.611312022
556	3.607652422
557	3.605621287
558	3.60245472
559	3.597962736
560	3.596208763
561	3.593795445
562	3.591788507
563	3.590002667
564	3.588057495
565	3.58585682
566	3.583774096
567	3.582583773
568	3.580514556
569	3.57727759
570	3.575491583
571	3.573750436
572	3.571733479
573	3.570404052
574	3.567040658
575	3.566690201
576	3.563431495
577	3.561340341
578	3.560955496
579	3.55889897
580	3.555879661
581	3.552797197
582	3.551259099
583	3.548747192
584	3.545552434
585	3.543908769
586	3.541831827
587	3.539704646
588	3.53630152
589	3.534452809
590	3.532290168
591	3.529790294
592	3.527163857
593	3.526953459
594	3.524351686
595	3.522934911
596	3.521332839
597	3.518972422
598	3.516131314
599	3.514146981
600	3.513541668
601	3.509526078
602	3.50681856
603	3.50534207
604	3.503416463
605	3.50151901
606	3.49984989
607	3.498548395
608	3.496663498
609	3.495147557
610	3.493879396
611	3.491920262
612	3.489992652
613	3.488610532
614	3.487322671
615	3.486005681
616	3.483344873
617	3.480404761
618	3.478228678
619	3.475743959
620	3.473977475
621	3.471572644
622	3.469400593
623	3.469110914
624	3.465922016
625	3.46205483
626	3.459657008
627	3.459202476
628	3.456699609
629	3.455654253
630	3.454551123
631	3.452908938
632	3.449959142
633	3.448067533
634	3.447602897
635	3.446193982
636	3.445619162
637	3.444254989
638	3.442622421
639	3.440949382
640	3.438678138
641	3.436502354
642	3.434409631
643	3.432465296
644	3.42946955
645	3.427355819
646	3.424501098
647	3.423384769
648	3.421532317
649	3.418536834
650	3.416257967
651	3.413487513
652	3.410674574
653	3.407809996
654	3.406255318
655	3.405454304
656	3.403210793
657	3.4002975
658	3.39728693
659	3.393777863
660	3.393590059
661	3.391065612
662	3.389731477
663	3.387976333
664	3.384874646
665	3.384466529
666	3.382329267
667	3.380547165
668	3.37853907
669	3.375365039
670	3.372491611
671	3.371081057
672	3.369308832
673	3.368815737
674	3.366047161
675	3.363897892
676	3.363579053
677	3.361297718
678	3.359768144
679	3.358601147
680	3.356675727
681	3.354588222
682	3.354418517
683	3.35402427
684	3.353829265
685	3.351538218
686	3.348970879
687	3.347596756
688	3.346201958
689	3.343246125
690	3.342119594
691	3.338283506
692	3.33731714
693	3.337142596
694	3.335442741
695	3.332090477
696	3.331869566
697	3.329948027
698	3.32569397
699	3.324158251
700	3.322963343
701	3.321531379
702	3.317336171
703	3.314599494
704	3.313048828
705	3.311058398
706	3.309379
707	3.307289734
708	3.306756619
709	3.30627454
710	3.305747105
711	3.303232817
712	3.301529384
713	3.299606365
714	3.299223441
715	3.297936711
716	3.296691061
717	3.295442473
718	3.293800554
719	3.292840103
720	3.291483804
721	3.2891175
722	3.28637605
723	3.284915435
724	3.284318112
725	3.284010026
726	3.282517205
727	3.281476338
728	3.279700618
729	3.277602377
730	3.274550104
731	3.272420807
732	3.272110766
733	3.271930089
734	3.270278884
735	3.270193109
736	3.268521307
737	3.267258349
738	3.266922245
739	3.265925941
740	3.263877129
741	3.262945235
742	3.261566318
743	3.256980795
744	3.255185713
745	3.253793698
746	3.253515102
747	3.252887284
748	3.249531568
749	3.245821197
750	3.243466689
751	3.24183494
752	3.239973356
753	3.237638253
754	3.236224747
755	3.235970139
756	3.235509894
757	3.232764041
758	3.231579459
759	3.229553305
760	3.228045261
761	3.226830071
762	3.226652733
763	3.22439629
764	3.222736932
765	3.221416198
766	3.219178635
767	3.21768145
768	3.21738822
769	3.217202779
770	3.215189863
771	3.214142893
772	3.211251761
773	3.20931021
774	3.208435472
775	3.206686193
776	3.204839297
777	3.203669462
778	3.201724184
779	3.200371066
780	3.198058852
781	3.196847594
782	3.194634363
783	3.194406235
784	3.191906611
785	3.190094104
786	3.188304006
787	3.187752281
788	3.186316803
789	3.186000522
790	3.185340045
791	3.183997992
792	3.183856672
793	3.182264253
794	3.180126781
795	3.177308792
796	3.177005599
797	3.174961713
798	3.172276111
799	3.170499919
800	3.170391992
801	3.168515734
802	3.168359416
803	3.168202677
804	3.166165471
805	3.164587961
806	3.163103372
807	3.160099086
808	3.159874298
809	3.157850365
810	3.155335578
811	3.153969479
812	3.152960384
813	3.152620292
814	3.151812451
815	3.15106114
816	3.147467229
817	3.147369096
818	3.14612164
819	3.143335139
820	3.143142529
821	3.141727097
822	3.13857097
823	3.137991208
824	3.136485324
825	3.134534766
826	3.13422623
827	3.133380273
828	3.13149751
829	3.130962206
830	3.129433125
831	3.12798887
832	3.127658771
833	3.126202462
834	3.126050823
835	3.122868367
836	3.122750708
837	3.121572851
838	3.118541234
839	3.116511115
840	3.115271635
841	3.113869708
842	3.111949081
843	3.108164527
844	3.10612748
845	3.103796409
846	3.103257502
847	3.102301074
848	3.102239462
849	3.100977311
850	3.100620997
851	3.099238133
852	3.095580721
853	3.095130596
854	3.095003923
855	3.094417084
856	3.093139561
857	3.092521603
858	3.089488104
859	3.085633223
860	3.0841072
861	3.083207288
862	3.082192445
863	3.078904773
864	3.077401671
865	3.076623878
866	3.076178196
867	3.075901492
868	3.074391436
869	3.073279108
870	3.070583779
871	3.070321477
872	3.070229875
873	3.070112075
874	3.067281151
875	3.064960631
876	3.063732059
877	3.061872105
878	3.059988087
879	3.058641276
880	3.05653813
881	3.055507356
882	3.055265648
883	3.054380661
884	3.052822819
885	3.052705712
886	3.050925638
887	3.049542292
888	3.049445728
889	3.04797849
890	3.044444431
891	3.042429745
892	3.041445401
893	3.040180974
894	3.037170232
895	3.037007053
896	3.035906386
897	3.035451794
898	3.035191151
899	3.033997143
900	3.032865146
901	3.03266023
902	3.030048995
903	3.029833536
904	3.029632671
905	3.028570619
906	3.02602324
907	3.024902656
908	3.024564939
909	3.022896469
910	3.022576985
911	3.020995394
912	3.020819277
913	3.019773203
914	3.019331583
915	3.016818244
916	3.015816123
917	3.01336464
918	3.011862596
919	3.010687607
920	3.009493582
921	3.007953089
922	3.005926475
923	3.005075239
924	3.005015624
925	3.004853709
926	3.003284539
927	3.001114889
928	3.000342328
929	3.00001169
930	2.999385857
931	2.99816915
932	2.995970908
933	2.994814108
934	2.993411685
935	2.992393939
936	2.991203179
937	2.990537538
938	2.988565812
939	2.986248619
940	2.985757553
941	2.985148865
942	2.981728128
943	2.979837299
944	2.979234783
945	2.978176796
946	2.977182268
947	2.97409329
948	2.970293171
949	2.969299233
950	2.967683503
951	2.965372179
952	2.96299976
953	2.961947296
954	2.961342959
955	2.959833404
956	2.9594674
957	2.958517939
958	2.958213065
959	2.955529371
960	2.953358721
961	2.952417147
962	2.952179502
963	2.951812823
964	2.94936183
965	2.948369741
966	2.946863013
967	2.946713162
968	2.945643999
969	2.943749281
970	2.942527253
971	2.940058216
972	2.939157224
973	2.935545427
974	2.934389904
975	2.931542178
976	2.931384558
977	2.930936247
978	2.930873144
979	2.930360003
980	2.928461945
981	2.927364703
982	2.926949902
983	2.926795682
984	2.925827706
985	2.924961184
986	2.924643433
987	2.924497504
988	2.924208758
989	2.923255586
990	2.922775331
991	2.920641006
992	2.920556309
993	2.919927978
994	2.918090087
995	2.917163129
996	2.915505836
997	2.915124269
998	2.915065298
999	2.91489364
